dataset,task_id,method,snapshot_size,candidate_count,true_source,predicted_source,source_rank,hit_at_1,hit_at_5,mrr,error_hops
sashts,sashts_seed11_sourceS007-007_frac20,graphsage_lodo,8,8,S007-007,S007-007,1,1,1,1.0,0
sashts,sashts_seed11_sourceS007-007_frac30,random,8,8,S007-007,S007-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceS007-007_frac30,snapshot_degree,8,8,S007-007,S007-001,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac30,snapshot_weighted_degree,8,8,S007-007,S007-006,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac30,snapshot_closeness,8,8,S007-007,S007-001,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac30,snapshot_betweenness,8,8,S007-007,S007-001,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac30,snapshot_center,8,8,S007-007,S007-001,7,0,0,0.14285714285714285,1
sashts,sashts_seed11_sourceS007-007_frac30,graphsage_lodo,8,8,S007-007,S007-007,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-001_frac10,random,3,3,S016-001,S016-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-001_frac10,snapshot_degree,3,3,S016-001,S016-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-001_frac10,snapshot_weighted_degree,3,3,S016-001,S016-003,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceS016-001_frac10,snapshot_closeness,3,3,S016-001,S016-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-001_frac10,snapshot_betweenness,3,3,S016-001,S016-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-001_frac10,snapshot_center,3,3,S016-001,S016-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-001_frac10,graphsage_lodo,3,3,S016-001,S016-003,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceS016-001_frac20,random,3,3,S016-001,S016-003,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceS016-001_frac20,snapshot_degree,3,3,S016-001,S016-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-001_frac20,snapshot_weighted_degree,3,3,S016-001,S016-003,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceS016-001_frac20,snapshot_closeness,3,3,S016-001,S016-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-001_frac20,snapshot_betweenness,3,3,S016-001,S016-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-001_frac20,snapshot_center,3,3,S016-001,S016-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-001_frac20,graphsage_lodo,3,3,S016-001,S016-003,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceS016-001_frac30,random,3,3,S016-001,S016-002,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-001_frac30,snapshot_degree,3,3,S016-001,S016-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-001_frac30,snapshot_weighted_degree,3,3,S016-001,S016-003,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceS016-001_frac30,snapshot_closeness,3,3,S016-001,S016-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-001_frac30,snapshot_betweenness,3,3,S016-001,S016-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-001_frac30,snapshot_center,3,3,S016-001,S016-001,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-001_frac30,graphsage_lodo,3,3,S016-001,S016-003,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceS016-002_frac10,random,3,3,S016-002,S016-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-002_frac10,snapshot_degree,3,3,S016-002,S016-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac10,snapshot_weighted_degree,3,3,S016-002,S016-003,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac10,snapshot_closeness,3,3,S016-002,S016-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac10,snapshot_betweenness,3,3,S016-002,S016-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac10,snapshot_center,3,3,S016-002,S016-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac10,graphsage_lodo,3,3,S016-002,S016-003,2,0,1,0.5,1
sashts,sashts_seed11_sourceS016-002_frac20,random,3,3,S016-002,S016-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceS016-002_frac20,snapshot_degree,3,3,S016-002,S016-001,2,0,1,0.5,1
