dataset,task_id,true_source,snapshot_size,target_fraction,simulation_steps,candidate_rows
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1751_frac10,1751,121,0.1,2,121
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1751_frac20,1751,73,0.2,2,73
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1751_frac30,1751,110,0.3,2,110
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1732_frac10,1732,134,0.1,2,134
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1732_frac20,1732,134,0.2,2,134
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1732_frac30,1732,133,0.3,2,133
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1545_frac10,1545,72,0.1,2,72
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1545_frac20,1545,84,0.2,2,84
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1545_frac30,1545,79,0.3,2,79
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1483_frac10,1483,94,0.1,2,94
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1483_frac20,1483,68,0.2,2,68
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1483_frac30,1483,223,0.3,3,223
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1836_frac10,1836,71,0.1,2,71
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1836_frac20,1836,74,0.2,2,74
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1836_frac30,1836,153,0.3,3,153
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1753_frac10,1753,91,0.1,2,91
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1753_frac20,1753,74,0.2,2,74
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1753_frac30,1753,216,0.3,3,216
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1913_frac10,1913,109,0.1,2,109
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1913_frac20,1913,82,0.2,2,82
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1913_frac30,1913,88,0.3,2,88
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1743_frac10,1743,139,0.1,2,139
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1743_frac20,1743,123,0.2,2,123
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1743_frac30,1743,123,0.3,2,123
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1759_frac10,1759,103,0.1,2,103
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1759_frac20,1759,91,0.2,2,91
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1759_frac30,1759,97,0.3,2,97
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1480_frac10,1480,125,0.1,2,125
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1480_frac20,1480,148,0.2,2,148
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1480_frac30,1480,114,0.3,2,114
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1661_frac10,1661,54,0.1,2,54
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1661_frac20,1661,79,0.2,2,79
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1661_frac30,1661,108,0.3,2,108
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1437_frac10,1437,107,0.1,2,107
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1437_frac20,1437,102,0.2,2,102
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1437_frac30,1437,122,0.3,2,122
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1801_frac10,1801,87,0.1,2,87
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1801_frac20,1801,121,0.2,2,121
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1801_frac30,1801,109,0.3,2,109
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1489_frac10,1489,96,0.1,2,96
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1489_frac20,1489,112,0.2,2,112
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1489_frac30,1489,111,0.3,2,111
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1696_frac10,1696,114,0.1,2,114
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1696_frac20,1696,91,0.2,2,91
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1696_frac30,1696,128,0.3,2,128
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1482_frac10,1482,116,0.1,2,116
sociopatterns_primary_school,sociopatterns_primary_school_seed23_source1482_frac20,1482,112,0.2,2,112
