model,model_family,feature_set,seed,fold,threshold,best_epoch,best_val_ap,patience,max_epochs,early_stopped,train_auc,train_ap,train_accuracy,train_f1,train_precision,train_recall,train_brier,train_positives,train_n,validation_auc,validation_ap,validation_accuracy,validation_f1,validation_precision,validation_recall,validation_brier,validation_positives,validation_n,test_auc,test_ap,test_accuracy,test_f1,test_precision,test_recall,test_brier,test_positives,test_n,hidden_dim
graph_full,ablation,full,23,1,0.05,5,0.7303999530415983,50,800,True,0.5890652557319224,0.7821855740725703,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24612047342303256,81,116,0.5265151515151515,0.7303999530415983,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24663095674487612,80,113,0.3540322580645161,0.6575768004201797,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2479809671173008,80,111,
no_graph_mlp_full,ablation,full_no_graph,23,1,0.05,68,0.7225731873130538,50,800,True,0.6243386243386243,0.8046664868864474,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24952320757032512,81,116,0.5325757575757576,0.7225731873130538,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24964601406445466,80,113,0.38870967741935486,0.6577374752697593,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2497261979433269,80,111,8.0
graph_remove_metadata,ablation,remove_metadata,23,1,0.05,1,0.7277668421807741,50,800,True,0.5754850088183422,0.8002198878709004,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24612871547584528,81,116,0.5570075757575758,0.7277668421807741,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2460957766622365,80,113,0.5304435483870967,0.7517060948721211,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2458627167491037,80,111,
graph_remove_centrality,ablation,remove_centrality,23,1,0.05,131,0.8036807664758406,50,800,True,0.7315696649029982,0.8751816192281344,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.23103390176141306,81,116,0.5602272727272727,0.8036807664758406,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24407703981874926,80,113,0.597983870967742,0.7994443959488355,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.23999016383287755,80,111,
graph_remove_edge_contact,ablation,remove_edge_contact,23,1,0.05,226,0.7438186412380959,50,800,True,0.7562610229276896,0.8895274643114633,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.22048867210913317,81,116,0.5428030303030303,0.7438186412380959,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24485733832625525,80,113,0.6193548387096774,0.8171869377440457,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2345352063216964,80,111,
graph_full,ablation,full,23,2,0.4799999999999999,35,0.8028627975561812,50,800,True,0.709274193548387,0.8623656266018195,0.7207207207207207,0.8268156424581006,0.7474747474747475,0.925,0.24744826299756706,80,111,0.6437389770723104,0.8028627975561812,0.7327586206896551,0.8342245989304813,0.7358490566037735,0.9629629629629629,0.24820571161594077,81,116,0.5284090909090909,0.7469174898190117,0.672566371681416,0.8000000000000002,0.7047619047619048,0.925,0.249814308279517,80,113,
no_graph_mlp_full,ablation,full_no_graph,23,2,0.05,459,0.872133993884742,50,800,True,0.6383064516129032,0.8368087672151019,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24966334139501203,80,111,0.727336860670194,0.872133993884742,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2496261127331094,81,116,0.5041666666666667,0.7152356105109217,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24983914702169333,80,113,8.0
graph_remove_metadata,ablation,remove_metadata,23,2,0.05,79,0.7573713401131974,50,800,True,0.5409274193548387,0.7498047870252763,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2510372024350841,80,111,0.5835978835978836,0.7573713401131974,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2506238623421646,81,116,0.5191287878787879,0.7019623995080936,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.25087566302395775,80,113,
graph_remove_centrality,ablation,remove_centrality,23,2,0.05,48,0.7995856528168924,50,800,True,0.7314516129032258,0.8618795429905639,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24641910085722443,80,111,0.6313932980599647,0.7995856528168924,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2485987752591223,81,116,0.5579545454545455,0.7532139544898816,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2501532016720357,80,113,
graph_remove_edge_contact,ablation,remove_edge_contact,23,2,0.05,33,0.8309180399358451,50,800,True,0.7173387096774193,0.8346000231843537,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24618923152961755,80,111,0.6645502645502646,0.8309180399358451,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24801322589715252,81,116,0.6147727272727272,0.8424463686613388,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24919674078551238,80,113,
