model,seed,fold,best_epoch,best_val_ap,early_stopped,threshold,hidden_dim,dropout_1,dropout_2,lr,weight_decay,feature_names,train_auc,train_ap,train_accuracy,train_f1,train_precision,train_recall,train_brier,train_positives,train_n,validation_auc,validation_ap,validation_accuracy,validation_f1,validation_precision,validation_recall,validation_brier,validation_positives,validation_n,test_auc,test_ap,test_accuracy,test_f1,test_precision,test_recall,test_brier,test_positives,test_n,config_id
full_pytorch_graphsage,11,1,198,0.8118873839829037,True,0.05,16,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.9869488536155203,0.9945016511173316,0.7931034482758621,0.870967741935484,0.7714285714285715,1.0,0.055473547358736504,81,116,0.656439393939394,0.8118873839829037,0.7079646017699115,0.8235294117647057,0.719626168224299,0.9625,0.2664718280061856,80,113,0.494758064516129,0.7606952523918598,0.7297297297297297,0.8387096774193549,0.7358490566037735,0.975,0.33953694029318027,80,111,4
full_pytorch_graphsage,11,2,8,0.8086766078574469,True,0.4799999999999999,16,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.644758064516129,0.8416944119931642,0.6666666666666666,0.7836257309941521,0.7362637362637363,0.8375,0.24775221075629897,80,111,0.6490299823633157,0.8086766078574469,0.7413793103448276,0.8351648351648352,0.7524752475247525,0.9382716049382716,0.24700532279401616,81,116,0.6556818181818181,0.7918859275887599,0.7345132743362832,0.8255813953488372,0.7717391304347826,0.8875,0.24801902849682975,80,113,4
full_pytorch_graphsage,23,0,115,0.7873416596216926,True,0.12,16,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.9791666666666666,0.9919581913717852,0.8672566371681416,0.9142857142857143,0.8421052631578947,1.0,0.07611197196930114,80,113,0.5616935483870967,0.7873416596216926,0.7297297297297297,0.8387096774193549,0.7358490566037735,0.975,0.26108602103095174,80,111,0.6134038800705467,0.7649764797490141,0.7068965517241379,0.8172043010752689,0.7238095238095238,0.9382716049382716,0.2632966530121671,81,116,4
full_pytorch_graphsage,23,1,6,0.7600767345833994,True,0.05,16,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7534391534391535,0.8953235145687714,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.23007161494581396,81,116,0.5761363636363637,0.7600767345833994,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24070686613837589,80,113,0.5112903225806451,0.7427444132856339,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2435866533009542,80,111,4
full_pytorch_graphsage,23,2,37,0.8009410082857138,True,0.31999999999999995,16,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.8423387096774193,0.933512193460845,0.7657657657657657,0.8555555555555556,0.77,0.9625,0.16675232006418525,80,111,0.6585537918871253,0.8009410082857138,0.7327586206896551,0.8342245989304813,0.7358490566037735,0.9629629629629629,0.21300148206616193,81,116,0.5575757575757576,0.7448709423078854,0.6637168141592921,0.7865168539325842,0.7142857142857143,0.875,0.24908544734629604,80,113,4
full_pytorch_graphsage,42,0,52,0.8305557233429995,True,0.18,16,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.8238636363636364,0.9224886253174105,0.7345132743362832,0.8404255319148937,0.7314814814814815,0.9875,0.19156298970442176,80,113,0.6600806451612903,0.8305557233429995,0.7297297297297297,0.8421052631578948,0.7272727272727273,1.0,0.23486911086317558,80,111,0.6109347442680776,0.7747411765778954,0.6982758620689655,0.8186528497409328,0.7053571428571429,0.9753086419753086,0.24065367260920104,81,116,4
full_pytorch_graphsage,42,1,160,0.7805981642111336,True,0.06,16,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.9749559082892416,0.9900805184192856,0.7672413793103449,0.8571428571428571,0.75,1.0,0.06679562765268877,81,116,0.5693181818181818,0.7805981642111336,0.6991150442477876,0.8191489361702128,0.7129629629629629,0.9625,0.27915042367561016,80,113,0.6048387096774194,0.7929520935754681,0.7207207207207207,0.8359788359788359,0.7247706422018348,0.9875,0.24760591429401874,80,111,4
full_pytorch_graphsage,42,2,36,0.7988025070292926,True,0.05,16,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7883064516129032,0.9105462780465471,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.19688645342150227,80,111,0.563668430335097,0.7988025070292926,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.23227451501223123,81,116,0.5643939393939394,0.7856578348413985,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.23223279094120314,80,113,4
full_pytorch_graphsage,11,0,9,0.8653347795553186,True,0.4799999999999999,16,0.5,0.3,0.005,0.001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.6825757575757576,0.8475130701613738,0.6902654867256637,0.8087431693989071,0.7184466019417476,0.925,0.24735535538818193,80,113,0.6774193548387096,0.8653347795553186,0.7387387387387387,0.8432432432432432,0.7428571428571429,0.975,0.24761922133419026,80,111,0.6278659611992945,0.7860147961614607,0.7327586206896551,0.835978835978836,0.7314814814814815,0.9753086419753086,0.24751263002561227,81,116,5
full_pytorch_graphsage,11,1,132,0.7819396183944926,True,0.14999999999999997,16,0.5,0.3,0.005,0.001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.9195767195767196,0.9661823195057921,0.7241379310344828,0.8333333333333333,0.7207207207207207,0.9876543209876543,0.1323829686894604,81,116,0.609469696969697,0.7819396183944926,0.7168141592920354,0.8315789473684211,0.7181818181818181,0.9875,0.2800953569234992,80,113,0.5504032258064516,0.7671446859708394,0.7387387387387387,0.8449197860962567,0.7383177570093458,0.9875,0.32192190487865835,80,111,5
